DATE,DISTRICT_NS,STATE,DISTRICT,CIRCUIT,CIRCUIT_NUM,CHAP_12_j,CHAP_12_j_q,CHAP_12_q,CHAP_12_impute,impute,YEAR,FISCAL_YEAR
1997-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2.25,2,2,2,1997,1998
1998-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2.25,2,2,2,1998,1998
1998-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2.25,3,3,3,1998,1998
1998-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,9,2.25,2,2,2,1998,1998
1998-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2,2,2,2,1998,1999
1999-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2,4,4,4,1999,1999
1999-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2,1,1,1,1999,1999
1999-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,8,2,1,1,1,1999,1999
1999-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2.25,4,4,4,1999,2e3
2000-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2.25,1,1,1,2e3,2e3
2000-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2.25,4,4,4,2e3,2e3
2000-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,9,2.25,0,0,0,2e3,2e3
2000-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,0,0,0,2e3,2001
2001-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,0,0,0,2001,2001
2001-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,3,3,3,2001,2001
2001-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,4,1,1,1,1,2001,2001
2001-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.5,0,0,0,2001,2002
2002-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.5,0,0,0,2002,2002
2002-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.5,1,1,1,2002,2002
2002-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,2,0.5,1,1,1,2002,2002
2002-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.75,2,2,2,2002,2003
2003-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.75,3,3,3,2003,2003
2003-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.75,2,2,2,2003,2003
2003-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,7,1.75,0,0,0,2003,2003
2003-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.25,4,4,4,2003,2004
2004-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.25,0,0,0,2004,2004
2004-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.25,0,0,0,2004,2004
2004-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,5,1.25,1,1,1,2004,2004
2004-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.25,1,1,1,2004,2005
2005-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.25,0,0,0,2005,2005
2005-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.25,0,0,0,2005,2005
2005-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,1,0.25,0,0,0,2005,2005
2005-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2.75,0,0,0,2005,2006
2006-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2.75,4,4,4,2006,2006
2006-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,2.75,0,0,0,2006,2006
2006-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,11,2.75,7,7,7,2006,2006
2006-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,0,0,0,2006,2007
2007-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,2,2,2,2007,2007
2007-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,1,1,1,2007,2007
2007-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,4,1,1,1,1,2007,2007
2007-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,0,0,0,2007,2008
2008-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,1,1,1,2008,2008
2008-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,2,2,2,2008,2008
2008-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,4,1,1,1,1,2008,2008
2008-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.5,0,0,0,2008,2009
2009-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.5,2,2,2,2009,2009
2009-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.5,1,1,1,2009,2009
2009-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,6,1.5,3,3,3,2009,2009
2009-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,3.75,2,2,2,2009,2010
2010-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,3.75,2,2,2,2010,2010
2010-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,3.75,5,5,5,2010,2010
2010-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,15,3.75,6,6,6,2010,2010
2010-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.75,3,3,3,2010,2011
2011-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.75,1,1,1,2011,2011
2011-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.75,1,1,1,2011,2011
2011-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,7,1.75,2,2,2,2011,2011
2011-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.75,1,1,1,2011,2012
2012-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.75,1,1,1,2012,2012
2012-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.75,0,0,0,2012,2012
2012-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,3,0.75,1,1,1,2012,2012
2012-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,0,0,0,2012,2013
2013-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,1,1,1,2013,2013
2013-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,1,1,1,2013,2013
2013-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,4,1,2,2,2,2013,2013
2013-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,1,1,1,2013,2014
2014-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,1,1,1,2014,2014
2014-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1,1,1,1,2014,2014
2014-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,4,1,1,1,1,2014,2014
2014-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.25,2,2,2,2014,2015
2015-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.25,1,1,1,2015,2015
2015-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,1.25,1,1,1,2015,2015
2015-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,5,1.25,1,1,1,2015,2015
2015-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.5,0,0,0,2015,2016
2016-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.5,1,1,1,2016,2016
2016-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,0.5,1,1,1,2016,2016
2016-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,2,0.5,0,0,0,2016,2016
2016-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,20.75,2,2,2,2016,2017
2017-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,20.75,1,1,1,2017,2017
2017-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,20.75,1,1,1,2017,2017
2017-09-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,20.75,0,0,0,2017,2017
2017-12-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,20.75,3,3,3,2017,2018
2018-03-31,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,20.75,0,0,0,2018,2018
2018-06-30,MOW,MISSOURI,MISSOURI WESTERN,EIGHTH CIRCUIT,8TH,NA,20.75,4,4,4,2018,2018
1986-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,20.75,NA,20.75,NA,1986,1987
1987-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,20.75,NA,20.75,34,1987,1987
1987-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,20.75,NA,20.75,35,1987,1987
1987-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,83,20.75,NA,20.75,12,1987,1987
1987-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,19,NA,19,18.5,1987,1988
1988-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,19,NA,19,18.5,1988,1988
1988-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,19,NA,19,22,1988,1988
1988-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,76,19,NA,19,17,1988,1988
1988-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,17.25,NA,17.25,20,1988,1989
1989-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,17.25,NA,17.25,20,1989,1989
1989-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,17.25,NA,17.25,11,1989,1989
1989-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,69,17.25,NA,17.25,18,1989,1989
1989-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,10.25,NA,10.25,11,1989,1990
1990-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,10.25,NA,10.25,16,1990,1990
1990-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,10.25,NA,10.25,9,1990,1990
1990-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,41,10.25,NA,10.25,5,1990,1990
1990-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,11.25,NA,11.25,11,1990,1991
1991-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,11.25,NA,11.25,22,1991,1991
1991-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,11.25,NA,11.25,6,1991,1991
1991-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,45,11.25,NA,11.25,6,1991,1991
1991-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,11.75,NA,11.75,9,1991,1992
1992-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,11.75,NA,11.75,11,1992,1992
1992-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,11.75,NA,11.75,16,1992,1992
1992-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,47,11.75,NA,11.75,11,1992,1992
1992-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,6.5,NA,6.5,8,1992,1993
1993-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,6.5,NA,6.5,5,1993,1993
1993-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,6.5,NA,6.5,6,1993,1993
1993-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,26,6.5,NA,6.5,7,1993,1993
1993-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,5,NA,5,7,1993,1994
1994-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,5,NA,5,4,1994,1994
1994-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,5,NA,5,6,1994,1994
1994-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,20,5,NA,5,3,1994,1994
1994-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,6,NA,6,10,1994,1995
1995-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,6,NA,6,6,1995,1995
1995-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,6,NA,6,5,1995,1995
1995-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,24,6,NA,6,3,1995,1995
1995-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,4.5,9,9,9,1995,1996
1996-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,4.5,4,4,4,1996,1996
1996-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,4.5,2,2,2,1996,1996
1996-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,18,4.5,3,3,3,1996,1996
1996-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,5.75,7,7,7,1996,1997
1997-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,5.75,10,10,10,1997,1997
1997-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,5.75,2,2,2,1997,1997
1997-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,23,5.75,4,4,4,1997,1997
1997-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,3.25,1,1,1,1997,1998
1998-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,3.25,6,6,6,1998,1998
1998-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,3.25,5,5,5,1998,1998
1998-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,13,3.25,1,1,1,1998,1998
1998-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1.25,0,0,0,1998,1999
1999-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1.25,3,3,3,1999,1999
1999-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1.25,1,1,1,1999,1999
1999-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,5,1.25,1,1,1,1999,1999
1999-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2.75,4,4,4,1999,2e3
2000-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2.75,6,6,6,2e3,2e3
2000-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2.75,1,1,1,2e3,2e3
2000-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,11,2.75,0,0,0,2e3,2e3
2000-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.75,0,0,0,2e3,2001
2001-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.75,0,0,0,2001,2001
2001-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.75,1,1,1,2001,2001
2001-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,3,0.75,2,2,2,2001,2001
2001-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,1,1,1,2001,2002
2002-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,0,0,0,2002,2002
2002-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,4,4,4,2002,2002
2002-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,8,2,3,3,3,2002,2002
2002-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2.5,2,2,2,2002,2003
2003-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2.5,1,1,1,2003,2003
2003-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2.5,7,7,7,2003,2003
2003-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,10,2.5,0,0,0,2003,2003
2003-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,7,7,7,2003,2004
2004-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,0,0,0,2004,2004
2004-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,1,1,1,2004,2004
2004-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,8,2,0,0,0,2004,2004
2004-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,0,0,0,2004,2005
2005-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,6,6,6,2005,2005
2005-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,2,2,2,2005,2005
2005-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,8,2,0,0,0,2005,2005
2005-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,5,5,5,2005,2006
2006-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,0,0,0,2006,2006
2006-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,2,2,2,2006,2006
2006-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,8,2,0,0,0,2006,2006
2006-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,1,1,1,2006,2007
2007-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,1,1,1,2007,2007
2007-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2,2,2,2,2007,2007
2007-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,8,2,4,4,4,2007,2007
2007-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1.25,0,0,0,2007,2008
2008-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1.25,1,1,1,2008,2008
2008-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1.25,2,2,2,2008,2008
2008-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,5,1.25,2,2,2,2008,2008
2008-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1.5,0,0,0,2008,2009
2009-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1.5,2,2,2,2009,2009
2009-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1.5,2,2,2,2009,2009
2009-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,6,1.5,2,2,2,2009,2009
2009-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,3.25,4,4,4,2009,2010
2010-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,3.25,6,6,6,2010,2010
2010-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,3.25,2,2,2,2010,2010
2010-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,13,3.25,1,1,1,2010,2010
2010-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2.25,3,3,3,2010,2011
2011-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2.25,5,5,5,2011,2011
2011-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,2.25,0,0,0,2011,2011
2011-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,9,2.25,1,1,1,2011,2011
2011-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.5,2,2,2,2011,2012
2012-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.5,0,0,0,2012,2012
2012-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.5,0,0,0,2012,2012
2012-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,2,0.5,0,0,0,2012,2012
2012-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.5,1,1,1,2012,2013
2013-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.5,0,0,0,2013,2013
2013-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.5,1,1,1,2013,2013
2013-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,2,0.5,0,0,0,2013,2013
2013-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.25,1,1,1,2013,2014
2014-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.25,0,0,0,2014,2014
2014-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.25,0,0,0,2014,2014
2014-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,1,0.25,0,0,0,2014,2014
2014-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.75,0,0,0,2014,2015
2015-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.75,3,3,3,2015,2015
2015-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,0.75,0,0,0,2015,2015
2015-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,3,0.75,0,0,0,2015,2015
2015-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1,1,1,1,2015,2016
2016-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1,2,2,2,2016,2016
2016-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,1,1,1,1,2016,2016
2016-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,4,1,0,0,0,2016,2016
2016-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,179.5,1,1,1,2016,2017
2017-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,179.5,3,3,3,2017,2017
2017-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,179.5,4,4,4,2017,2017
2017-09-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,179.5,0,0,0,2017,2017
2017-12-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,179.5,0,0,0,2017,2018
2018-03-31,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,179.5,0,0,0,2018,2018
2018-06-30,MT,MONTANA,MONTANA,NINTH CIRCUIT,9TH,NA,179.5,1,1,1,2018,2018
1986-12-31,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,179.5,NA,179.5,NA,1986,1987
1987-03-31,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,179.5,NA,179.5,444,1987,1987
1987-06-30,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,179.5,NA,179.5,167,1987,1987
1987-09-30,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,718,179.5,NA,179.5,106,1987,1987
1987-12-31,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,47.25,NA,47.25,64,1987,1988
1988-03-31,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,47.25,NA,47.25,64,1988,1988
1988-06-30,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,47.25,NA,47.25,35,1988,1988
1988-09-30,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,189,47.25,NA,47.25,26,1988,1988
1988-12-31,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,18.75,NA,18.75,20.5,1988,1989
1989-03-31,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,18.75,NA,18.75,20.5,1989,1989
1989-06-30,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,18.75,NA,18.75,23,1989,1989
1989-09-30,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,75,18.75,NA,18.75,11,1989,1989
1989-12-31,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,20.25,NA,20.25,15,1989,1990
1990-03-31,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,20.25,NA,20.25,24,1990,1990
1990-06-30,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,20.25,NA,20.25,29,1990,1990
1990-09-30,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,81,20.25,NA,20.25,13,1990,1990
1990-12-31,NE,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,8TH,NA,16.75,NA,16.75,14,1990,1991
